dateEn,dateJp,bodyEn,bodyJp
2027 Mar 20–22,2027年3月20日(土)〜22日(月・祝),"Joint exhibition <em>Moji・Kotoba・Oto Exhibition (working title)</em> as the Ii・Komawaki・Morita Joint Project.",「ぃぃ・駒和樹・森田拓夢 共同企画」として展覧会《もじ・ことば・おと展（仮）》を実施予定
2028 Mar (TBA),2028年3月頃,New work to be presented as part of the Ii・Komawaki・Morita Joint Project.,「ぃぃ・駒和樹・森田拓夢 共同企画」として作品を発表予定
